diarist_id,fishing_effort,species,number_fish_caught
D001,13,Species_A,18
D002,20,Species_A,29
D003,9,Species_A,11
D004,16,Species_A,27
D005,22,Species_A,38
D006,17,Species_A,27
D007,11,Species_A,5
D008,9,Species_A,10
D009,20,Species_A,19
D010,17,Species_A,21
D011,17,Species_A,12
D012,16,Species_A,7
D013,13,Species_A,26
D014,21,Species_A,18
D015,19,Species_A,37
D016,15,Species_A,11
D017,12,Species_A,16
D018,11,Species_A,11
D019,14,Species_A,24
D020,11,Species_A,10
D021,13,Species_A,15
D022,15,Species_A,20
D023,11,Species_A,10
D024,11,Species_A,13
D025,14,Species_A,20
D026,10,Species_A,10
D027,19,Species_A,28
D028,19,Species_A,28
D029,19,Species_A,27
D030,18,Species_A,13
D031,18,Species_A,17
D032,15,Species_A,12
D033,14,Species_A,15
D034,14,Species_A,13
D035,13,Species_A,25
D036,19,Species_A,12
D037,15,Species_A,16
D038,20,Species_A,23
D039,12,Species_A,7
D040,14,Species_A,21
D041,14,Species_A,5
D042,19,Species_A,9
D043,15,Species_A,16
D044,16,Species_A,23
D045,15,Species_A,9
D046,15,Species_A,12
D047,21,Species_A,19
D048,15,Species_A,16
D049,21,Species_A,6
D050,10,Species_A,14
D001,13,Species_B,18
D002,20,Species_B,33
D003,9,Species_B,10
D004,16,Species_B,16
D005,22,Species_B,9
D006,17,Species_B,25
D007,11,Species_B,7
D008,9,Species_B,9
D009,20,Species_B,13
D010,17,Species_B,14
D011,17,Species_B,9
D012,16,Species_B,9
D013,13,Species_B,9
D014,21,Species_B,31
D015,19,Species_B,23
D016,15,Species_B,31
D017,12,Species_B,3
D018,11,Species_B,8
D019,14,Species_B,15
D020,11,Species_B,10
D021,13,Species_B,25
D022,15,Species_B,11
D023,11,Species_B,10
D024,11,Species_B,20
D025,14,Species_B,22
D026,10,Species_B,6
D027,19,Species_B,22
D028,19,Species_B,19
D029,19,Species_B,12
D030,18,Species_B,12
D031,18,Species_B,24
D032,15,Species_B,16
D033,14,Species_B,5
D034,14,Species_B,18
D035,13,Species_B,10
D036,19,Species_B,10
D037,15,Species_B,6
D038,20,Species_B,11
D039,12,Species_B,23
D040,14,Species_B,16
D041,14,Species_B,10
D042,19,Species_B,13
D043,15,Species_B,16
D044,16,Species_B,17
D045,15,Species_B,19
D046,15,Species_B,10
D047,21,Species_B,26
D048,15,Species_B,9
D049,21,Species_B,20
D050,10,Species_B,12
D001,13,Species_C,10
D002,20,Species_C,6
D003,9,Species_C,8
D004,16,Species_C,17
D005,22,Species_C,9
D006,17,Species_C,14
D007,11,Species_C,7
D008,9,Species_C,13
D009,20,Species_C,13
D010,17,Species_C,18
D011,17,Species_C,14
D012,16,Species_C,18
D013,13,Species_C,12
D014,21,Species_C,26
D015,19,Species_C,11
D016,15,Species_C,8
D017,12,Species_C,5
D018,11,Species_C,6
D019,14,Species_C,15
D020,11,Species_C,15
D021,13,Species_C,10
D022,15,Species_C,7
D023,11,Species_C,7
D024,11,Species_C,9
D025,14,Species_C,9
D026,10,Species_C,10
D027,19,Species_C,11
D028,19,Species_C,8
D029,19,Species_C,5
D030,18,Species_C,8
D031,18,Species_C,13
D032,15,Species_C,18
D033,14,Species_C,12
D034,14,Species_C,11
D035,13,Species_C,8
D036,19,Species_C,15
D037,15,Species_C,7
D038,20,Species_C,12
D039,12,Species_C,22
D040,14,Species_C,12
D041,14,Species_C,7
D042,19,Species_C,15
D043,15,Species_C,14
D044,16,Species_C,29
D045,15,Species_C,10
D046,15,Species_C,8
D047,21,Species_C,42
D048,15,Species_C,12
D049,21,Species_C,21
D050,10,Species_C,7
D001,13,Species_D,3
D002,20,Species_D,11
D003,9,Species_D,4
D004,16,Species_D,7
D005,22,Species_D,17
D006,17,Species_D,4
D007,11,Species_D,2
D008,9,Species_D,9
D009,20,Species_D,5
D010,17,Species_D,9
D011,17,Species_D,13
D012,16,Species_D,13
D013,13,Species_D,6
D014,21,Species_D,11
D015,19,Species_D,11
D016,15,Species_D,17
D017,12,Species_D,12
D018,11,Species_D,8
D019,14,Species_D,2
D020,11,Species_D,9
D021,13,Species_D,5
D022,15,Species_D,7
D023,11,Species_D,2
D024,11,Species_D,9
D025,14,Species_D,2
D026,10,Species_D,8
D027,19,Species_D,13
D028,19,Species_D,17
D029,19,Species_D,6
D030,18,Species_D,11
D031,18,Species_D,12
D032,15,Species_D,19
D033,14,Species_D,12
D034,14,Species_D,5
D035,13,Species_D,11
D036,19,Species_D,12
D037,15,Species_D,7
D038,20,Species_D,7
D039,12,Species_D,3
D040,14,Species_D,3
D041,14,Species_D,8
D042,19,Species_D,12
D043,15,Species_D,14
D044,16,Species_D,24
D045,15,Species_D,8
D046,15,Species_D,7
D047,21,Species_D,10
D048,15,Species_D,15
D049,21,Species_D,8
D050,10,Species_D,10
D001,13,Species_E,7
D002,20,Species_E,16
D003,9,Species_E,2
D004,16,Species_E,8
D005,22,Species_E,6
D006,17,Species_E,9
D007,11,Species_E,5
D008,9,Species_E,6
D009,20,Species_E,6
D010,17,Species_E,4
D011,17,Species_E,6
D012,16,Species_E,8
D013,13,Species_E,8
D014,21,Species_E,14
D015,19,Species_E,2
D016,15,Species_E,5
D017,12,Species_E,4
D018,11,Species_E,5
D019,14,Species_E,6
D020,11,Species_E,4
D021,13,Species_E,8
D022,15,Species_E,4
D023,11,Species_E,4
D024,11,Species_E,4
D025,14,Species_E,5
D026,10,Species_E,5
D027,19,Species_E,16
D028,19,Species_E,7
D029,19,Species_E,12
D030,18,Species_E,7
D031,18,Species_E,3
D032,15,Species_E,8
D033,14,Species_E,12
D034,14,Species_E,8
D035,13,Species_E,4
D036,19,Species_E,6
D037,15,Species_E,5
D038,20,Species_E,14
D039,12,Species_E,2
D040,14,Species_E,4
D041,14,Species_E,7
D042,19,Species_E,12
D043,15,Species_E,6
D044,16,Species_E,5
D045,15,Species_E,8
D046,15,Species_E,7
D047,21,Species_E,12
D048,15,Species_E,6
D049,21,Species_E,12
D050,10,Species_E,4
